:   ID : executionTime     : executionResult : description  
:   60 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.test_index_script(      
:   61 :             0.235 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_locations_demo(      
:   62 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_hash_pk_ind(      
:   63 :             0.228 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_bank(      
:   64 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_divisions(      
:   65 :             0.301 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_not_part_pk_ind(      
:   66 :             0.242 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_hash_range_pk(      
:   67 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_ref(      
:   68 :             0.212 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_emp_mrg_src(      
:   69 :             0.205 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_warehouses(      
:   70 :             0.349 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.err$_tbl_employees3(      
:   71 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_list_ins(      
:   72 :             0.366 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype2(      
:   73 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dimension1(      
:   74 :             0.257 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dimension2(      
:   75 :             0.211 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dr$idx_tbl_ind_dmn$r(      
:   76 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dimension4(      
:   77 :             0.229 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype_varchar(      
:   78 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_list_pk(      
:   79 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.f_f2(      
:   80 :             0.214 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.d_cust_cat(      
:   81 :             0.228 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.fact_table1(      
:   82 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dr$idx_tbl_ind_dmn$k(      
:   83 :             0.330 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_employees(      
:   84 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_datatype4(      
:   85 :             0.205 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_account_state_seq(      
:   86 :             0.224 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_pk(      
:   87 :             0.206 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_emp_bldfun(      
:   88 :             0.680 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_lead8 (col1, col2, col3, col4, col5) AS      
:   89 :             0.266 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_min22 (text, error_msg) AS      
:   90 :             0.287 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_part_range_list_pk(      
:   91 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.dr$idx_tbl_ind_dmn$n(      
:   92 :             0.203 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_demo_fk_1(      
:   93 :             0.246 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_promotions_var2(      
:   94 :             0.204 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.tbl_inventories(      
:   95 :             0.331 :         SUCCESS : CREATE TABLE IF NOT EXISTS test_batch.d_cust_type(      
