              Started ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;           additional 
                      ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;                      
                      ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;                      
                      ;               _Total ;                   C: ;                   F: ;                   D: ;                   E: ;      HarddiskVolume1 ;                      
                6.683 ;               22.143 ;                0.000 ;               31.217 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.202725933.json.gz 
                6.850 ;               22.139 ;                0.000 ;               31.209 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.203727900.json.gz 
                7.017 ;               22.146 ;                0.000 ;               31.224 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.204729908.json.gz 
                7.183 ;               22.146 ;                0.000 ;               31.224 ;               14.338 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.205732103.json.gz 
                7.350 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.210733814.json.gz 
                7.517 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.211736231.json.gz 
                7.683 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.212738541.json.gz 
                7.850 ;               22.138 ;                0.000 ;               31.224 ;               14.319 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.213740492.json.gz 
                8.017 ;               22.127 ;                0.000 ;               31.224 ;               14.295 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.214742746.json.gz 
                8.183 ;               22.124 ;                0.000 ;               31.224 ;               14.289 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.215744127.json.gz 
                8.350 ;               22.124 ;                0.000 ;               31.224 ;               14.289 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.220746009.json.gz 
                8.517 ;               22.124 ;                0.000 ;               31.224 ;               14.288 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.221748231.json.gz 
                8.683 ;               22.124 ;                0.000 ;               31.224 ;               14.288 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.222750188.json.gz 
                8.850 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.223752243.json.gz 
                9.017 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.224754406.json.gz 
                9.183 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.225756756.json.gz 
                9.350 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.230758375.json.gz 
                9.517 ;               22.122 ;                0.000 ;               31.224 ;               14.282 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.231800592.json.gz 
                9.683 ;               22.119 ;                0.000 ;               31.224 ;               14.276 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.232802763.json.gz 
                9.850 ;               22.119 ;                0.000 ;               31.224 ;               14.276 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.233804755.json.gz 
               10.017 ;               22.116 ;                0.000 ;               31.224 ;               14.270 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.234806853.json.gz 
               10.183 ;               22.116 ;                0.000 ;               31.224 ;               14.270 ;               52.699 ;               94.983 ; Dbmsys.2018.10.23.235808761.json.gz 
               10.350 ;               22.290 ;                0.000 ;               31.634 ;               14.258 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.000810595.json.gz 
               10.517 ;               22.290 ;                0.000 ;               31.634 ;               14.258 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.001812461.json.gz 
               10.683 ;               22.285 ;                0.000 ;               31.628 ;               14.252 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.002814561.json.gz 
               10.850 ;               22.285 ;                0.000 ;               31.628 ;               14.252 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.003816780.json.gz 
               11.017 ;               22.282 ;                0.000 ;               31.628 ;               14.245 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.004818975.json.gz 
               11.183 ;               22.282 ;                0.000 ;               31.628 ;               14.245 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.005820844.json.gz 
               11.350 ;               22.277 ;                0.000 ;               31.628 ;               14.233 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.010823006.json.gz 
               11.517 ;               22.271 ;                0.000 ;               31.628 ;               14.221 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.011825238.json.gz 
               11.683 ;               22.269 ;                0.000 ;               31.628 ;               14.215 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.012827390.json.gz 
               11.850 ;               22.268 ;                0.000 ;               31.628 ;               14.215 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.013829381.json.gz 
